threshold,sensitivity,specificity,TP,FN,TN,FP,share_flagged
0.02,0.9969,0.2448,318,1,47,145,0.9061
0.03,0.9937,0.2865,317,2,55,137,0.8885
0.04,0.9906,0.2917,316,3,56,136,0.8845
0.05,0.9812,0.3125,313,6,60,132,0.8708
0.06,0.9718,0.3281,310,9,63,129,0.8591
0.07,0.9718,0.3385,310,9,65,127,0.8552
0.08,0.9718,0.3594,310,9,69,123,0.8474
0.09,0.9718,0.3802,310,9,73,119,0.8395
0.1,0.9655,0.3854,308,11,74,118,0.8337
0.11,0.9624,0.3854,307,12,74,118,0.8317
0.12,0.9592,0.3906,306,13,75,117,0.8278
0.13,0.9592,0.4115,306,13,79,113,0.8200
0.14,0.9592,0.4219,306,13,81,111,0.8160
0.15,0.9592,0.4375,306,13,84,108,0.8102
0.16,0.9561,0.4375,305,14,84,108,0.8082
0.17,0.9561,0.4479,305,14,86,106,0.8043
0.18,0.9467,0.4583,302,17,88,104,0.7945
0.19,0.9467,0.4583,302,17,88,104,0.7945
0.2,0.9467,0.4583,302,17,88,104,0.7945
0.21,0.9436,0.4635,301,18,89,103,0.7906
0.22,0.9436,0.4688,301,18,90,102,0.7886
0.23,0.9436,0.4740,301,18,91,101,0.7867
0.24,0.9436,0.4740,301,18,91,101,0.7867
0.25,0.9436,0.4792,301,18,92,100,0.7847
0.26,0.9436,0.4896,301,18,94,98,0.7808
0.27,0.9436,0.4948,301,18,95,97,0.7789
0.28,0.9436,0.5000,301,18,96,96,0.7769
0.29,0.9436,0.5052,301,18,97,95,0.7750
0.3,0.9373,0.5312,299,20,102,90,0.7613
0.31,0.9373,0.5365,299,20,103,89,0.7593
0.32,0.9373,0.5417,299,20,104,88,0.7573
0.33,0.9373,0.5417,299,20,104,88,0.7573
0.34,0.9373,0.5417,299,20,104,88,0.7573
0.35,0.9342,0.5469,298,21,105,87,0.7534
0.36,0.9342,0.5469,298,21,105,87,0.7534
0.37,0.9310,0.5521,297,22,106,86,0.7495
0.38,0.9279,0.5573,296,23,107,85,0.7456
0.39,0.9216,0.5573,294,25,107,85,0.7417
0.4,0.9185,0.5625,293,26,108,84,0.7378
0.41,0.9185,0.5781,293,26,111,81,0.7319
0.42,0.9185,0.5833,293,26,112,80,0.7299
0.43,0.9185,0.5885,293,26,113,79,0.7280
0.44,0.9185,0.6094,293,26,117,75,0.7202
0.45,0.9185,0.6146,293,26,118,74,0.7182
0.46,0.9154,0.6302,292,27,121,71,0.7104
0.47,0.9154,0.6354,292,27,122,70,0.7084
0.48,0.9154,0.6354,292,27,122,70,0.7084
0.49,0.9154,0.6354,292,27,122,70,0.7084
0.5,0.9122,0.6354,291,28,122,70,0.7065
0.51,0.9122,0.6354,291,28,122,70,0.7065
0.52,0.9091,0.6354,290,29,122,70,0.7045
0.53,0.9091,0.6458,290,29,124,68,0.7006
0.54,0.9091,0.6510,290,29,125,67,0.6986
0.55,0.9028,0.6562,288,31,126,66,0.6928
0.56,0.9028,0.6562,288,31,126,66,0.6928
0.57,0.9028,0.6615,288,31,127,65,0.6908
0.58,0.8997,0.6667,287,32,128,64,0.6869
0.59,0.8997,0.6823,287,32,131,61,0.6810
0.6,0.8997,0.6823,287,32,131,61,0.6810
0.61,0.8934,0.6875,285,34,132,60,0.6751
0.62,0.8934,0.6927,285,34,133,59,0.6732
0.63,0.8934,0.6927,285,34,133,59,0.6732
0.64,0.8903,0.6927,284,35,133,59,0.6712
0.65,0.8903,0.6979,284,35,134,58,0.6693
0.66,0.8777,0.6979,280,39,134,58,0.6614
0.67,0.8746,0.7083,279,40,136,56,0.6556
0.68,0.8715,0.7083,278,41,136,56,0.6536
0.69,0.8683,0.7292,277,42,140,52,0.6438
0.7,0.8683,0.7344,277,42,141,51,0.6419
0.71,0.8652,0.7448,276,43,143,49,0.6360
0.72,0.8652,0.7500,276,43,144,48,0.6341
0.73,0.8621,0.7604,275,44,146,46,0.6282
0.74,0.8589,0.7708,274,45,148,44,0.6223
0.75,0.8495,0.7708,271,48,148,44,0.6164
0.76,0.8433,0.7760,269,50,149,43,0.6106
0.77,0.8401,0.7812,268,51,150,42,0.6067
0.78,0.8401,0.7812,268,51,150,42,0.6067
0.79,0.8307,0.7917,265,54,152,40,0.5969
0.8,0.8276,0.7969,264,55,153,39,0.5930
0.81,0.8245,0.8021,263,56,154,38,0.5890
0.82,0.8150,0.8021,260,59,154,38,0.5832
0.83,0.8088,0.8073,258,61,155,37,0.5773
0.84,0.8088,0.8229,258,61,158,34,0.5714
0.85,0.8056,0.8333,257,62,160,32,0.5656
0.86,0.8025,0.8438,256,63,162,30,0.5597
0.87,0.7994,0.8490,255,64,163,29,0.5558
0.88,0.7931,0.8542,253,66,164,28,0.5499
0.89,0.7868,0.8646,251,68,166,26,0.5421
0.9,0.7743,0.8854,247,72,170,22,0.5264
0.91,0.7649,0.8906,244,75,171,21,0.5186
0.92,0.7524,0.8958,240,79,172,20,0.5088
0.93,0.7398,0.9010,236,83,173,19,0.4990
0.94,0.7147,0.9115,228,91,175,17,0.4795
0.95,0.6959,0.9167,222,97,176,16,0.4658
